sku,img,Наименование,цвет,вес кирпича грамм,на поддоне,морозостойкость/марка прочности,Цена в копейках,Балаково,Волгоград,Волжский,Вольск,Воронеж,Казахстан,Липецк,Махачкала,Пенза,Пугачев,Саратов,Сызрань,Тамбов,Тольятти,Ульяновск,Ахтубинск,"Актобе, тенге","Алмата, тенге"
br-1,http://vk-zavod.ru/sites/default/files/field/image/01_red_p.jpg,Кирпич керамический облицовочный полуторный пустотелый,красный,3 300,352,M150 /F75,1490,1630,1660,1660,,,1665,1665,2400,1529,1500,1500,1900,1490,1500,1650,2400,12600,19500
br-2,http://vk-zavod.ru/sites/default/files/field/image/02_red.jpg,Кирпич керамический облицовочный одинарный пустотелый,красный,2 400,480,M150 /F75,1170,1250,1360,1360,,,1465,1465,1880,1329,1350,1350,1300,1330,1350,1380,1823,9500,13700
br-3,http://vk-zavod.ru/sites/default/files/field/image/03_red_koroed_p.jpg,Кирпич керамический облицовочный полуторный пустотелый «короед»,красный рельефный,3 300,352,M150 /F75,1500,1465,1660,1660,,,1765,1765,2400,1629,1500,1500,1900,1490,1500,1650,2450,13000,20000
br-4,http://vk-zavod.ru/sites/default/files/field/image/05_red_p_r.jpg,Кирпич керамический облицовочный полуторный пустотелый «черепашка»,красный рельефный,3 300,352,M150 /F75,1500,1465,1660,1660,,,1475,1765,2400,1629,1350,1500,1900,1490,1500,1650,2475,13000,20000
br-5,http://vk-zavod.ru/sites/default/files/field/image/04_red_koroed.jpg,Кирпич керамический облицовочный одинарный пустотелый «короед»,красный рельефный,2 400,480,M150 /F75,1180,1250,1360,1360,,,1245,1475,1880,1339,900,1350,1300,1330,1350,1380,1900,10000,13800
br-6,http://vk-zavod.ru/sites/default/files/field/image/06_red_r.jpg,Кирпич керамический облицовочный одинарный пустотелый «черепашка»,красный рельефный,2 400,480,M150 /F75,1180,1250,1360,1360,,,1255,1475,1880,1339,900,1350,1300,1330,1350,1380,1900,10000,13800
br-7,http://vk-zavod.ru/sites/default/files/field/image/07_red_half.jpg,Кирпич керамический облицовочный «половинка» пустотелый,красный,1200,960,M150 /F50,890,1140,1030,1030,,,2665,1245,1300,1109,2400,900,1110,1320,900,1020,1350,6500,7500
br-8,http://vk-zavod.ru/sites/default/files/field/image/08_red_half_r.jpg,Кирпич керамический облицовочный «половинка» пустотелый «черепашка»,красный рельефный,1200,960,M150 /F75,900,1140,1030,1030,,,1865,1255,1300,1119,1650,900,1110,1320,900,1020,1370,7000,7500
br-9,http://vk-zavod.ru/sites/default/files/field/image/27_red_half_koroed.jpg,Кирпич керамический облицовочный «половинка» пустотелый «короед»,красный рельефный,1200,960,M150 /F75,900,1140,1030,1030,,,2665,1255,1300,1119,2400,900,1110,1320,900,1020,1370,7000,7500
br-10,http://vk-zavod.ru/sites/default/files/field/image/11_ch_p.jpg,Кирпич керамический облицовочный полуторный пустотелый «молочный шоколад»,коричневый,3300,352,M150 /F75,2400,2550,2480,2480,,,1865,2665,3580,2529,1650,2400,2690,2400,2400,2560,3712,16500,0
br-11,http://vk-zavod.ru/sites/default/files/field/image/12_ch.jpg,Кирпич керамический облицовочный одинарный пустотелый «молочный шоколад»,коричневый,2400,480,M150 /F75,1550,1750,1840,1840,,,1550,1865,2350,1729,1300,1650,1990,1550,1650,1770,3712,13500,0
br-12,http://vk-zavod.ru/sites/default/files/field/image/16_br_koroed_p.jpg,Кирпич керамический облицовочный полуторный пустотелый «короед»,коричневый рельефный,3300,352,M150 /F75,2400,2550,2480,2480,,,1560,2665,3580,2529,1300,2400,2690,2400,2400,2410,3712,19000,0
br-13,http://vk-zavod.ru/sites/default/files/field/image/13_br_p_r.jpg,Кирпич керамический облицовочный полуторный пустотелый «черепашка»,коричневый рельефный,3300,352,M150 /F75,2400,2550,2480,2480,,,0,2665,3580,2529,0,2400,2690,2400,2400,2410,3712,19000,0
br-14,http://vk-zavod.ru/sites/default/files/field/image/15_br_koroed.jpg,Кирпич керамический облицовочный одинарный пустотелый «короед»,коричневый рельефный,2400,480,M150 /F75,1560,1750,1840,1840,,,0,1865,2350,1729,0,1650,1990,1560,1650,1790,2470,15000,0
br-15,http://vk-zavod.ru/sites/default/files/field/image/14_br_r.jpg,Кирпич керамический облицовочный одинарный пустотелый «черепашка»,коричневый рельефный,2400,480,M150 /F75,1560,1750,1840,1840,,,0,1865,2350,1729,0,1650,1990,1560,1650,1790,2470,15000,0
br-16,http://vk-zavod.ru/sites/default/files/field/image/17_ch_half_0.jpg,Кирпич керамический облицовочный «половинка» пустотелый,коричневый,1200,960,M150 /F75,1190,1445,1400,1400,,,0,1550,1650,1414,0,1300,1510,1190,1300,1370,1765,9000,0
br-17,http://vk-zavod.ru/sites/default/files/field/image/28_br_half_koroed.jpg,Кирпич керамический облицовочный «половинка» пустотелый «короед»,коричневый рельефный,1200,960,M150 /F50,1200,1445,1400,1400,,,0,1560,1650,1424,0,1300,1510,1200,1300,1370,1765,10500,0
br-18,http://vk-zavod.ru/sites/default/files/field/image/18_ch_half_r.jpg,Кирпич керамический облицовочный «половинка» пустотелый «черепашка»,коричневый рельефный,1200,960,M150 /F50,1200,1445,1400,1400,,,1535,1560,1650,1424,1250,1300,1510,1200,1300,1370,1765,10500,0
br-19,http://vk-zavod.ru/sites/default/files/field/image/19_bone_p.jpg,Кирпич керамический облицовочный полуторный пустотелый «слоновая кость»,светлый,3300,352,M150 /F75,2860,0,0,0,,,1365,0,0,0,1100,0,0,2860,0,0,0,0,0
br-20,http://vk-zavod.ru/sites/default/files/field/image/20_bone.jpg,Кирпич керамический облицовочный одинарный пустотелый «слоновая кость»,светлый,2400,480,M150 /F75,2230,0,0,0,,,0,0,0,0,0,0,0,2230,0,0,0,0,0
