"sku","Наименование ","цвет ","вес кирпича ","на поддоне ","морозостойкость/марка прочности ","Цена "
"rty","Кирпич керамический облицовочный полуторный пустотелый","красный ","3,300",352,"M150 /F75","14,90 руб."
"erty","Кирпич керамический облицовочный одинарный пустотелый ","красный ","2,400",480,"M150 /F75","11,70 руб."
"rty","Кирпич керамический облицовочный полуторный пустотелый «черепашка», «короед» ","красный рельефный ","3,300",352,"M150 /F75","15,00 руб."
"erty","Кирпич керамический облицовочный одинарный пустотелый «черепашка», «короед» ","красный рельефный ","2,400",480,"M150 /F75","11,80 руб."
"erty","Кирпич керамический облицовочный «половинка» пустотелый ","красный ","1,200",960,"M150 /F50","8,90 руб."
"erty","Кирпич керамический облицовочный «половинка» пустотелый «черепашка», «короед» ","красный рельефный ","1,200",960,"M150 /F75","9,00 руб."
"erty","Кирпич керамический облицовочный полуторный пустотелый «молочный шоколад» ","коричневый ","3,300",352,"M150 /F75","24,00 руб."
"rty","Кирпич керамический облицовочный одинарный пустотелый «молочный шоколад» ","коричневый ","2,400",480,"M150 /F75","15,50 руб."
"rty","Кирпич керамический облицовочный полуторный пустотелый «черепашка», «короед» ","коричневый рельефный ","3,300",352,"M150 /F75","24,00 руб."
"rty","Кирпич керамический облицовочный одинарный пустотелый «черепашка», «короед» ","коричневый рельефный ","2,400",480,"M150 /F75","15,60 руб."
"erty","Кирпич керамический облицовочный «половинка» пустотелый ","коричневый ","1,200",960,"M150 /F75","11,90 руб."
"erty","Кирпич керамический облицовочный «половинка» пустотелый «черепашка», «короед» ","коричневый рельефный ","1,200",960,"M150 /F50","12,00 руб."
"erty","Кирпич керамический облицовочный полуторный пустотелый «слоновая кость» ","светлый ","3,300",352,"M150 /F75","28,60 руб."
"erty","Кирпич керамический облицовочный одинарный пустотелый «слоновая кость» ","светлый ","2,400",480,"M150 /F75","22,30 руб."
"erty","Кирпич керамический облицовочный полуторный пустотелый «солома» ","желтый ","3,300",352,"M150 /F75","27,30 руб."
"rty","Кирпич керамический облицовочный одинарный пустотелый «солома» ","желтый ","2,400",480,"M150 /F75","19,50 руб."
"erty","Камень (блок) керамический красный рядовой пустотелый с рифленой поверхностью ","красный ","4,300",240,"M125 /F50","15,10 руб."
"erty","Кирпич керамический рядовой полуторный пустотелый ","красный ","3,300",352,"M125 /F50","11,70 руб."
"rty","Кирпич керамический рядовой одинарный пустотелый ","красный ","2,400",480,"M125 /F50","9,60 руб."
333,"Кирпич керамический одинарный полнотелый (пустотность 12%) ","красный ","3,300",360,"М200 ","15,00 руб."
